kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,path_gambar,deskripsi_bersih
mall,Manhattan Times Square Medan,3.5908426,98.6266558,"Manhattan Times Square, Jalan Gagak Hitam, Sunggal, Medan Sunggal, Kota Medan ᯔᯩᯑᯉ᯲, Sumatera Utara, Sumatera, 20123, Indonesia",Sumatera Utara,Kota Medan ,"Manhattan Times Square Medan, Kota Medan ᯔᯩᯑᯉ᯲, Sumatera Utara",gambar_wisata/Manhattan_Times_Square_Medan,Deskripsi tidak ditemukan
mall,Mega Mall Pontianak,-0.0513705,109.3446916,"Mega Mall Parking Area, Parit Tokaya, Pontianak, Kalimantan Barat, Kalimantan, 71127, Indonesia",Kalimantan Barat,Pontianak,"Mega Mall Pontianak, Pontianak, Kalimantan Barat",gambar_wisata/Mega_Mall_Pontianak,"Kota Pontianak (Jawi:    , Hanzi:  , Hakka: Khunt en) adalah ibu kota yang sekaligus menjadi pusat pemerintahan dan perekonomian dari provinsi Kalimantan Barat, Indonesia. Kota ini didirikan pertama kali sebagai pelabuhan perdagangan di Pulau Kalimantan, menempati area seluas 118,31 km2 di delta Sungai Kapuas yang menjadi titik temu dengan anak sungai utamanya, Sungai Landak."
mall,Pacific Place Jakarta,-6.2249656,106.809825,"Pacific Place Mall, Kav 52-53, Sudirman Central Business District Southway, RW 03, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, 12190, Indonesia",,Daerah Khusus ibukota Jakarta,"Pacific Place Jakarta, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/Pacific_Place_Jakarta,"Australia, dengan nama resmi Persemakmuran Australia (bahasa Inggris: Commonwealth of Australia), adalah sebuah negara di belahan Bumi selatan yang terdiri dari daratan utama benua Australia, Pulau Tasmania, dan berbagai pulau kecil di Samudra Hindia, dan Samudra Pasifik. Negara-negara yang bertetangga dengan Australia diantaranya adalah Indonesia, Timor Leste, dan Papua Nugini di utara; Kepulauan Solomon, Vanuatu, dan Kaledonia Baru di timur-laut; dan Selandia Baru di tenggara."
mall,Pacific Place Mall,-6.2249656,106.809825,"Pacific Place Mall, Kav 52-53, Sudirman Central Business District Southway, RW 03, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, 12190, Indonesia",,Daerah Khusus ibukota Jakarta,"Pacific Place Mall, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/Pacific_Place_Mall,
mall,Pakuwon Mall Jogja,-7.7582576,110.3994486,"TPB RRU Pakuwon Mall Jogja, Ring Road Utara, Condongcatur, Depok, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55283, Indonesia",Daerah Istimewa Yogyakarta,Sleman,"Pakuwon Mall Jogja, Sleman, Daerah Istimewa Yogyakarta",gambar_wisata/Pakuwon_Mall_Jogja,"Pakuwon Mall Jogja (sebelumnya bernama Hartono Lifestyle Mall Yogyakarta atau Hartono Mall Yogyakarta) adalah pusat perbelanjaan yang terletak di Condongcatur, Depok, Sleman, Daerah Istimewa Yogyakarta. Didirikan pada tahun 2015 sebagai Hartono Mall Yogyakarta, mal ini bersalin nama pasca diakuisisi oleh Pakuwon Jati pada tahun 2020."
mall,Pakuwon Mall Surabaya,-7.28906,112.6756078,"Pakuwon Mall, Jalan Mayor Jenderal Jonosewojo, Pakuwon Indah, Babatan, Wiyung, Surabaya, Jawa Timur, Jawa, 60123, Indonesia",Jawa Timur,Surabaya,"Pakuwon Mall Surabaya, Surabaya, Jawa Timur",gambar_wisata/Pakuwon_Mall_Surabaya,"Pakuwon Mall Surabaya atau Pakuwon Mall atau biasa disingkat PM (sebelumnya bernama Supermal Pakuwon Indah, terkadang dikenal dengan istilah Supermal Surabaya atau Surabaya Supermal) adalah pusat perbelanjaan terbesar di Indonesia dengan luas penyewa sebesar 200,000 m . Pusat perbelanjaan ini berdampingan dan menyatu dengan pusat pertokoan Pakuwon Trade Center (atau biasa disingkat PTC) dan Pakuwon Mall Home Pro."
mall,Palangka Raya Mall,-2.2066227,113.9153434,"Palangka Raya Mall (PALMA), Jalan Kinibalu, Palangka, Palangka Raya, Kalimantan Tengah, Kalimantan, 74874, Indonesia",Kalimantan Tengah,Palangka Raya,"Palangka Raya Mall, Palangka Raya, Kalimantan Tengah",gambar_wisata/Palangka_Raya_Mall,"Lippo Plaza Palangka Raya adalah sebuah pusat perbelanjaan yang terletak di Palangka Raya, Kalimantan Tengah. Didirikan pada tahun 2012, mal ini dahulu menyandang nama Mega Town Square, atau sering disingkat pula menjadi Metos."
mall,Palembang Icon Mall,-2.9785785,104.7457881,"Palembang Icon, Jalan Angkatan 45, Ilir Barat I, Palembang, Sumatera Selatan, Sumatera, 30137, Indonesia",Sumatera Selatan,Palembang,"Palembang Icon Mall, Palembang, Sumatera Selatan",gambar_wisata/Palembang_Icon_Mall,"Palembang Icon, atau sering disingkat sebagai PI, adalah mal di Kota Palembang yang dikelola oleh Lippo Group dan dibuka pada tanggal 11 Desember 2013. Mal ini bersebelahan dengan Stadion Bumi Sriwijaya dan berhadapan dengan Kantor Dewan Perwakilan Rakyat Daerah Provinsi Sumatra Selatan."
mall,Palembang Square,-2.9761723,104.7418731,"Palembang Square, Jalan Angkatan 45, Ilir Barat I, Palembang, Sumatera Selatan, Sumatera, 30137, Indonesia",Sumatera Selatan,Palembang,"Palembang Square, Palembang, Sumatera Selatan",gambar_wisata/Palembang_Square,"Palembang Square, sering disingkat sebagai PS, adalah pusat perbelanjaan yang terletak di Palembang, tepatnya di Jalan Angkatan 45, Kelurahan Lorok Pakjo, Kecamatan Ilir Barat I. Mal ini didirikan pada tahun 2004, dengan lokasi dekat dengan Stadion Bumi Sriwijaya. Pada tahun 2008, Lippo Karawaci mengakuisisi Palembang Square dari pemilik sebelumnya, PT Bayu Jaya Lestari Sukses."
mall,Palu Grand Mall,-0.8834237,119.8426033,"Palu Grand Mall, Jalan Diponegoro, Kecamatan Ulujadi, Palu, Sulawesi Tengah, Sulawesi, 94221, Indonesia",Sulawesi Tengah,Palu,"Palu Grand Mall, Palu, Sulawesi Tengah",gambar_wisata/Palu_Grand_Mall,"Palu Grand Mall ( PGM ) adalah sebuah pusat perbelanjaan yang ada di Palu, Sulawesi Tengah. Didirikan pada tahun 2013, mal ini dimiliki dan dikelola oleh NWP Property (PT Nirvana Wastu Pratama) dan merupakan properti kedua mereka di Sulawesi, setelah Citimall Gorontalo."
